AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2015,5,Antioquia,1262800,89.92,89.79,61.07,89.02,74.17,42.61,103.14,79.42,111,110.09,82.19,30.39,61.29,3.82,2.86,2.97,5.55,2.8,89.34,96.94,91.59,83.89,91.56,6.84,0.2,5.44,10.56,5.64,2.83,0.2,2.26,4.55,1.95
2015,8,Atlántico,520783,86.17,85.92,53.52,82.12,74.28,45.61,93.38,81.92,100.78,95.67,76.02,26.27,88,1.39,1.74,1.29,1.57,1,95.19,97.2,95.8,93.48,96.78,3.42,1.06,2.9,4.96,2.22,1.69,1.06,1.38,2.42,1.06
2015,11,"Bogotá, D.C.",1455309,82.2,81.77,59.17,78.94,74.89,50.61,88.45,73.77,89.14,94.6,81.94,27.56,98.87,3.63,3.48,2.72,4.85,3.2,96.29,96.51,97.25,95.02,96.57,0.09,0,0.03,0.12,0.23,9.91,0,6.49,16.02,7.94
2015,13,Bolívar,488886,88.78,88.69,58.5,87.33,71.05,39.34,100.18,98.61,111.11,100.44,73.44,23.02,44.94,3.01,3.16,2.54,3.75,2.69,91.5,96.06,92.85,88.1,92.34,5.49,0.78,4.61,8.15,4.97,1.83,0.78,1.74,2.46,0.92
2015,15,Boyacá,284611,83.62,83.57,63.02,80.65,74.22,48.61,93.37,82.1,92.12,101.3,85.47,25.17,22.96,2.22,1.8,1.39,3.19,2.32,93.27,97.91,95.64,89.72,93.39,4.51,0.29,2.97,7.09,4.29,2.27,0.29,1.46,3.68,2.07
2015,17,Caldas,194108,78.9,78.86,52.47,74.53,69.24,43.55,90.19,68.31,91.54,97.76,82.41,25.44,30.69,3.67,3.66,2.7,5.07,3.1,88.13,95.55,90.65,82.79,90.57,8.2,0.8,6.65,12.14,6.34,2.18,0.8,1.55,3.58,1.65
2015,18,Caquetá,124382,73.14,73.12,43.87,72.82,54.52,23.63,85.42,75.37,99.51,82.51,60.16,22.94,14.77,4.87,4.9,4.11,6.31,4.08,91.65,94.43,92.31,89.47,93.23,3.48,0.67,3.58,4.22,2.69,1.26,0.67,1.02,1.87,1.17
2015,19,Cauca,312453,82.21,82.21,44.7,84.42,63.04,31.28,99.04,80.51,112.85,99.32,74.71,19.12,44.93,2.17,2.12,1.31,3.43,2.46,91.64,96.84,92.86,88.4,92.05,6.19,1.03,5.83,8.17,5.48,1.23,1.03,1.24,1.6,0.68
2015,20,Cesar,260802,95.52,95.39,61.65,92.76,73.88,38.63,109.85,109.95,126.53,104.38,78.46,26.72,39.87,4.38,5.46,3.96,5.1,3.1,90.48,93.32,91.48,87.66,92.31,5.14,1.22,4.57,7.24,4.59,1.08,1.22,1.06,1.32,0.35
2015,23,Córdoba,409982,89.54,89.5,52.58,87.47,72.18,38.97,103.33,94.22,113.14,105.16,78.72,21.09,39.12,2.26,2.83,1.78,2.9,2.05,94.51,96.54,95.55,92.51,94.32,3.23,0.62,2.67,4.59,3.63,1.79,0.62,1.95,2.05,1.1
2015,25,Cundinamarca,576429,90.72,90.47,55.93,86.83,80.91,50.5,100.22,83.58,102.59,108.25,86.49,19.59,32.73,3.27,3.52,2.24,4.62,2.86,93.2,96.05,95.57,89.58,93.84,3.52,0.43,2.19,5.8,3.3,2.14,0.43,1.67,3.26,1.44
2015,27,Chocó,145625,80.48,80.48,51.99,82.2,47.3,20.35,100.91,91.24,126.13,87.89,63.56,18.79,20.15,4.78,4.27,4.36,6.31,3.02,88.35,95.39,87.49,86.28,94.07,6.87,0.34,8.15,7.41,2.91,0.29,0.34,0.3,0.34,0.12
2015,41,Huila,269323,87.64,87.58,58,87.77,74.81,40.15,99.18,80.48,107.37,105.2,76.13,26.24,38.93,5.17,4.49,3.52,7.75,4.66,87.04,95.16,90.64,80.16,87.67,7.79,0.34,5.84,12.09,7.67,1.09,0.34,0.8,1.78,0.87
2015,44,La Guajira,258207,74.12,74.08,47.17,71.58,44.62,19.8,86.61,95.91,110.96,71.23,42.18,23.7,21.9,2.29,1.96,1.96,3.25,1.91,95.83,97.64,96.11,94.22,96.79,1.88,0.4,1.93,2.52,1.3,1.42,0.4,1.29,1.84,0.64
2015,47,Magdalena,330539,93.61,93.43,64.05,87.3,69.06,35.65,108.08,143.18,118.86,103.73,71.43,22.89,40.02,3.54,3.07,3.54,3.93,2.82,93.68,95.65,93.88,92.35,94.86,2.78,1.28,2.58,3.72,2.32,1.07,1.28,1,1.4,0.46
2015,50,Meta,217437,92.19,92.14,59.32,90.32,76.35,42.26,103.88,89.88,113.25,106.12,82.14,27.52,52.9,3.3,3.39,2.68,4.35,2.57,92.08,96.51,94.23,87.71,93.46,4.62,0.1,3.09,7.94,3.97,1.1,0.1,0.78,1.94,0.55
2015,52,Nariño,396138,73.53,73.51,39.88,71.43,56.46,29.95,88.26,69.82,95.64,94.26,67.17,21.61,30.27,1.23,0.85,0.75,1.9,1.51,96.42,99.12,97.47,94.71,95.2,2.35,0.03,1.77,3.39,3.28,1.35,0.03,1.04,2.27,0.95
2015,54,Norte de Santander,310611,85.89,85.84,58.03,89.27,68.7,36.24,99.27,92.26,113.58,97.55,72.75,24.33,19.12,2.66,2.9,2.07,3.53,2.54,95.75,96.95,96.86,93.92,95.35,1.59,0.15,1.07,2.55,2.11,1.31,0.15,1.08,2,0.85
2015,63,Quindio,109400,81.93,81.86,44.92,74.18,76.01,48.03,94.03,70.16,89.46,108.4,88.63,28.78,15.93,5.9,5.92,4.74,7.63,4.67,88.09,93.93,91.46,83.06,88.94,6.01,0.15,3.79,9.31,6.39,1.38,0.15,1.11,2.04,1.1
2015,66,Risaralda,183900,88.12,87.94,54.05,83.32,76.6,43.22,102.5,81.12,103.21,113.61,89.46,25.65,55.42,5.05,5,3.67,7.2,3.83,89.03,93.63,92.49,83.16,91,5.92,1.38,3.84,9.64,5.18,1.52,1.38,1.28,2.36,0.73
2015,68,Santander,407815,94.5,94.37,59.9,94.34,82.45,47.84,105.97,94.26,112.23,111.9,85.51,26.17,25.65,3.17,4.18,2.37,4.22,2.51,91.93,95.01,94.7,87.61,92.36,4.9,0.81,2.93,8.18,5.13,1.62,0.81,1.12,2.64,1.31
2015,70,Sucre,200001,95.8,95.74,67.38,95,73.13,42.25,112.16,125.56,122.33,109.59,85.64,22.7,50.39,2.65,2.96,1.98,3.54,2.59,87.04,96.07,88.13,82.19,88.57,10.31,0.97,9.89,14.27,8.84,0.61,0.97,0.69,0.55,0.23
2015,73,Tolima,310206,85.48,85.41,51.39,83.09,71.52,42.41,96.32,82.72,104.54,98.92,77.44,25.42,27.8,3.71,4.45,3.1,4.68,2.77,89.08,94.98,90.97,84.33,91.96,7.22,0.57,5.93,10.99,5.27,0.58,0.57,0.52,0.83,0.37
2015,76,Valle del Cauca,875476,84.44,84.26,50.96,82.63,69.59,39.64,96.74,82.24,104.4,101.13,77.2,22.38,43.1,2.78,3.07,2.24,3.63,2.31,91.04,96.24,93.14,86.67,92.71,6.18,0.69,4.62,9.7,4.99,0.92,0.69,0.72,1.44,0.6
2015,81,Arauca,75107,72.88,72.84,46.47,71.95,55.91,28.37,82.95,82.65,91.52,82.64,59.76,20.22,37.55,3.51,3.17,2.82,4.84,3.28,96.29,96.83,97.18,94.82,95.64,0.2,0,0,0.34,1.08,2.27,0,1.92,3.47,1.92
2015,85,Casanare,87417,102.43,102.39,70.61,102,83.12,46.95,115.06,102.31,123.5,119.57,90.97,25.71,20.3,3.75,4.13,3.04,5.04,2.59,88.89,95.45,91.59,82.57,92.06,7.36,0.42,5.36,12.39,5.35,1.21,0.42,1.01,1.84,0.69
2015,86,Putumayo,91874,76.71,76.7,35.59,75.52,63.09,29.54,88.74,72.48,95.92,94.84,66.7,27.77,25.27,5.26,6.29,4.45,6.46,4.3,89.23,93.37,91.54,84.79,90.31,5.51,0.34,4.02,8.75,5.39,0.85,0.34,0.74,1.2,0.82
2015,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15265,67.34,67.3,52.34,67.37,60.42,39.01,72.67,69.1,76.07,76.45,58.81,25.8,83.33,0.63,0.29,0.4,1.01,0.7,95.92,99.56,97.57,92.73,96.21,3.44,0.15,2.03,6.26,3.08,2.16,0.15,1.83,3.24,1.48
2015,91,Amazonas,22212,81.49,81.46,40.65,82.75,59.41,26.52,95.76,79.35,111.01,94.27,67.01,20.13,16.36,4.76,4.54,2.53,8,6.69,89.23,95.19,90.55,85.73,88.52,6.01,0.27,6.92,6.27,4.79,1.65,0.27,2.02,1.39,1.34
2015,94,Guainía,11913,75.3,75.3,53.21,72.75,35.9,8.16,93.44,117.02,117.23,85.78,38.1,26.15,24.44,7.64,6.62,6.39,10.59,7.61,75.4,82.06,76.19,70.86,76.32,16.96,11.32,17.42,18.55,16.07,2.12,11.32,2.24,1.89,0
2015,95,Guaviare,31553,54.91,54.9,27.32,54.02,40.88,19.45,65.9,53.93,72.87,68.61,47.72,27.73,24.08,4.7,4.68,3.79,6.48,3.72,87.99,92.62,89.92,83.08,90.06,7.31,2.7,6.29,10.45,6.22,1.21,2.7,0.9,2.05,0.94
2015,97,Vaupés,12684,64.08,64.08,20.27,64.42,35.56,11.59,76.58,44.34,101.51,68.79,42.91,14.69,24.58,8.08,6.79,7.73,9.66,5.86,78.38,87.43,77.15,77.41,85.74,13.54,5.79,15.12,12.93,8.4,3.49,5.79,4.08,3.37,0.16
